order_k,subset_mask,n_layers,peak_layer,peak_score,final_layer,final_score,tau_q99_abs_fixed_subset_null,retention_eligible,final_near_floor,retain_s,retain_s_status
1,1,31,28,0.8730853928460015,30,0.8675076299243503,0.006777383486429849,True,False,0.9936114348409044,estimable
1,2,31,12,1.1423482563760545,30,1.0808201432228088,0.006777383486429849,True,False,0.9461389179614671,estimable
2,3,31,27,0.8347269280089272,30,0.8001886382699013,0.006777383486429849,True,False,0.9586232472200099,estimable
1,4,31,16,1.1333687172995675,30,1.0222576359907787,0.006777383486429849,True,False,0.9019638714102426,estimable
2,5,31,12,0.7421664678388171,30,0.71723499480221,0.006777383486429849,True,False,0.9664071685841488,estimable
2,6,31,13,0.9630862722794215,30,0.945354628480143,0.006777383486429849,True,False,0.9815887275006927,estimable
3,7,31,15,0.7307651730047332,30,0.5759676678313149,0.006777383486429849,True,False,0.7881706587946335,estimable
1,8,31,30,1.1399403015772502,30,1.1399403015772502,0.006777383486429849,True,False,1.0,estimable
2,9,31,7,0.8530992782778211,30,0.8501179251405927,0.006777383486429849,True,False,0.9965052682458636,estimable
2,10,31,12,1.0490059190326266,30,1.0469592031505373,0.006777383486429849,True,False,0.9980488995867851,estimable
3,11,31,11,0.6769179196821319,30,0.6289689938227335,0.006777383486429849,True,False,0.9291658198649634,estimable
2,12,31,29,1.0758740040991042,30,0.9971058633592395,0.006777383486429849,True,False,0.9267868352244256,estimable
3,13,31,13,0.8125906801886029,30,0.7883892522917854,0.006777383486429849,True,False,0.9702169511823586,estimable
3,14,31,10,0.9907571342256333,30,0.9438504858149422,0.006777383486429849,True,False,0.9526557550884023,estimable
4,15,31,14,0.7486940763062901,30,0.6046803941329321,0.006777383486429849,True,False,0.8076468256783133,estimable
