order_k,subset_mask,subset_positions,n_layers,peak_layer,peak_score,final_score,retain_s,post_peak_fraction_lost,first_ge_50pct_peak_layer,first_ge_90pct_peak_layer,largest_adjacent_gain,largest_adjacent_gain_from_layer,largest_adjacent_gain_to_layer,largest_adjacent_drop,largest_adjacent_drop_from_layer,largest_adjacent_drop_to_layer,max_critic_seed_sd_across_layers,mean_critic_seed_sd_across_layers,seed_peak_layer_min,seed_peak_layer_max,seed_peak_layer_range,seed_peak_layer_mode,seed_peak_to_final_ratio_mean,seed_peak_to_final_ratio_sd,score_L0,score_L5,score_L10,score_L15,score_L20,score_L25,score_L30,normalized_L0,normalized_L5,normalized_L10,normalized_L15,normalized_L20,normalized_L25,normalized_L30
1,1,{39},31,28,0.8730853928460015,0.8675076299243503,0.9936114348409044,0.006388565159095583,1,3,0.630496934419609,0,1,-0.13271468620393256,8,9,0.13269404570861565,0.06594126698511531,7,28,21,7,0.9528847181912766,0.03327968301121031,0.2033920817905002,0.7842942211363052,0.8341570562786527,0.649023155371348,0.7329812977049085,0.7546917233202192,0.8675076299243503,0.23295783374350343,0.8983018471764105,0.9554129104823825,0.743367327742964,0.8395299059071474,0.8643962314615597,0.9936114348409044
1,2,{40},31,12,1.1423482563760545,1.0808201432228088,0.9461389179614671,0.053861082038532904,0,1,0.32929050684916594,0,1,-0.12214564166715725,21,22,0.144924359592547,0.06889660501056151,10,13,3,10,0.8913462718937066,0.06897840453649488,0.6825905905829536,1.0833768447240193,1.1171060303846996,1.0310529073079426,0.9886916213565403,1.0707370903756883,1.0808201432228088,0.5975328335934788,0.9483770283511317,0.9779032130959499,0.9025731877762204,0.8654905505725818,0.9373123164493261,0.9461389179614671
2,3,"{39,40}",31,27,0.8347269280089272,0.8001886382699013,0.9586232472200099,0.04137675277999009,1,6,0.8087082697911897,0,1,-0.4756979318929352,27,28,0.5020817721026537,0.12582470875288768,10,27,17,10,0.910951477436861,0.05829445397065758,4.346172014872233e-09,0.7222220823168755,0.8150951729880439,0.736860473950704,0.6912217140197754,0.7598396688699722,0.8001886382699013,5.2066991839345e-09,0.86521958029986,0.9764812247429098,0.8827563233264033,0.828081245286462,0.9102853201135089,0.9586232472200099
1,4,{41},31,16,1.1333687172995675,1.0222576359907787,0.9019638714102426,0.09803612858975741,1,4,0.5673675059038601,0,1,-0.10668791677319689,27,28,0.20330854331055195,0.07348968487053653,12,30,18,12,0.8746271313334324,0.18804632138500998,0.043702440129386046,1.015986310111152,1.0549871491061316,1.0560058852036793,1.0670325954755147,1.0481117599540284,1.0222576359907787,0.03855977270443295,0.8964305213328122,0.9308419519640594,0.9317408086926755,0.9414699551774208,0.9247756215217608,0.9019638714102426
2,5,"{39,41}",31,12,0.7421664678388171,0.71723499480221,0.9664071685841488,0.03359283141585123,2,10,0.7546711985007718,1,2,-0.22800000850857766,0,1,0.9184818904556209,0.08962308728238932,13,17,4,13,0.925609578409432,0.056658852800815,-8.071462313334148e-08,0.5976717505190109,0.6767352985011206,0.7197075701422162,0.6238537132740021,0.64767105711831,0.71723499480221,-1.0875541624560568e-07,0.8053068636466779,0.9118376103298879,0.9697387329260495,0.8405846131672576,0.8726762595517458,0.9664071685841488
2,6,"{40,41}",31,13,0.9630862722794215,0.945354628480143,0.9815887275006927,0.018411272499307296,1,3,0.7834499713642942,0,1,-0.08975677406199156,13,14,0.1362561503216239,0.05678470678627785,8,13,5,8,0.9399738954202679,0.0455027662555888,-2.077884144253201e-07,0.855014047688908,0.83199609319369,0.9327752855088974,0.8595562908384536,0.8333579070038266,0.945354628480143,-2.157526489641773e-07,0.8877855206733147,0.8638853207039606,0.9685272361957934,0.8925018615456596,0.8652993309015243,0.9815887275006927
3,7,"{39,40,41}",31,15,0.7307651730047332,0.5759676678313149,0.7881706587946335,0.21182934120536645,1,3,0.8120795300585253,0,1,-0.2693879937805238,18,19,0.3674093051683747,0.08994957773110147,12,28,16,12,0.7549277472610765,0.1507519708401542,-4.718701044718424e-08,0.6239241328504351,0.6655162225166956,0.7307651730047332,0.6354973365863165,0.5933892495102353,0.5759676678313149,-6.457205705789514e-08,0.8537956595345219,0.9107114666949037,1.0,0.8696327631122622,0.8120108503123642,0.7881706587946335
1,8,{54},31,30,1.1399403015772502,1.1399403015772502,1.0,0.0,1,5,0.5368134979079358,0,1,-0.12311613460112192,23,24,0.1392835155115874,0.06148323997460426,28,30,2,30,0.9795168844415795,0.03547779684448872,0.3507240480846829,1.0417351689603593,1.0708201262685988,0.989309483104282,1.0197446478737726,1.09148684475157,1.1399403015772502,0.30766878546131954,0.9138506354402842,0.9393650920026119,0.8678607833545743,0.8945596944531464,0.9574947418223227,1.0
2,9,"{39,54}",31,7,0.8530992782778211,0.8501179251405927,0.9965052682458636,0.003494731754136393,1,3,0.7887972973817214,0,1,-0.11572926889745627,9,10,0.09190674398666174,0.04519384474406326,9,30,21,30,0.9435874014153539,0.09770948693559517,-1.7136335372924805e-07,0.8096654050880008,0.7432918118105993,0.8028724855846829,0.8082402149836222,0.8083487235837513,0.8501179251405927,-2.008715258500567e-07,0.9490869652621186,0.8712840706079442,0.9411243287011887,0.9474163623901344,0.9475435557929329,0.9965052682458636
2,10,"{40,54}",31,12,1.0490059190326266,1.0469592031505373,0.9980488995867851,0.0019511004132148901,1,7,0.7532603861738585,0,1,-0.2588378618234374,19,20,0.25719829354140883,0.0864653800655048,10,30,20,10,0.9423925560787781,0.0524912735412799,-1.8398794862959121e-07,0.9339905265304779,0.9745723770724403,0.9929945568243661,0.727343600657251,0.9109757757849164,1.0469592031505373,-1.753926696612555e-07,0.8903577278112846,0.9290437350164549,0.9466052944106234,0.693364629751559,0.8684181464152281,0.9980488995867851
3,11,"{39,40,54}",31,11,0.6769179196821319,0.6289689938227335,0.9291658198649634,0.07083418013503662,1,4,0.8872369717097016,0,1,-0.37839126402737444,11,12,0.2208076001102214,0.10698225147125937,13,30,17,30,0.8501886781838389,0.2594808209346428,1.779860920376248e-08,0.5500192840894064,0.6013870098524624,0.6609427084525427,0.5482761338353157,0.5940345724423727,0.6289689938227335,2.629360028187816e-08,0.8125346782778113,0.888419396748815,0.9764000763385154,0.8099595503289025,0.8775577587328761,0.9291658198649634
