layer,order_k,n_subset_masks,descriptive_score_mean_across_subsets,descriptive_score_sd_across_subsets,max_subset_critic_seed_sd
0,1,4,0.3201022901468807,0.2722459732402038,0.03213651868307984
0,2,6,-1.0230750949294478e-07,1.0078131303160189e-07,2.9354444464345985e-07
0,3,4,-7.409188482496474e-08,1.9066359947955315e-07,2.8666183481471455e-07
0,4,1,-4.548993375566271e-07,0.0,2.92208686462867e-07
1,1,4,0.8655057959258555,0.17436002305298826,0.18861102652391265
1,2,6,0.5742275037423328,0.367031612457614,0.9184818904556209
1,3,4,0.6620668268038167,0.11236891445851756,0.15274826048822016
1,4,1,0.6181564389003648,0.0,0.10586609995549638
2,1,4,0.904935601684782,0.14701712365991537,0.07880382342476853
2,2,6,0.6614659087801421,0.21839068616174304,0.2973816014490866
2,3,4,0.6488488231682116,0.13878206817628275,0.2715467881186835
2,4,1,0.5526042125291295,0.0,0.13608295896223088
3,1,4,0.9498500823974609,0.11652842050703523,0.10162921047276348
3,2,6,0.753244375879014,0.18719786250576115,0.41345621368115754
3,3,4,0.7160316573248969,0.12585715766910185,0.14386450513769633
3,4,1,0.6602447686923875,0.0,0.05443085819396381
4,1,4,0.9327660815583335,0.12507199367958333,0.09584062179345998
4,2,6,0.7731702787180742,0.12403310264586917,0.19219891377211828
4,3,4,0.665127258333895,0.13037595153390963,0.17585284233696377
4,4,1,0.5746305514540936,0.0,0.0737625528948452
5,1,4,0.981348136232959,0.13427149067282682,0.07232780141081349
5,2,6,0.8168449968927437,0.1411846521366154,0.08903040404697228
5,3,4,0.6835617023623651,0.1303908265902943,0.13184441186212467
5,4,1,0.6653693550162845,0.0,0.052760355683688406
6,1,4,0.9282623819179007,0.11070748465698167,0.1027567053773879
6,2,6,0.7907355702309697,0.11297160536911646,0.10221660119920137
6,3,4,0.6790525760087702,0.14798051391090858,0.1484735786676935
6,4,1,0.6739178424080213,0.0,0.10642078524272829
7,1,4,0.9699802042709457,0.10137333792992033,0.08324039616042266
7,2,6,0.8540161254781266,0.15909311947961838,0.08439204229085277
7,3,4,0.6864636695633332,0.17257570039038936,0.13472424300824487
7,4,1,0.6490493441621462,0.0,0.07539091144292932
8,1,4,1.0195761579606268,0.12567507706697434,0.06539772521734248
8,2,6,0.8178037109750288,0.13453359989167774,0.09121701932520183
8,3,4,0.6983467042446136,0.21188695859888,0.1973371270280541
8,4,1,0.6756947305467395,0.0,0.07550441859672613
9,1,4,0.9750526671608288,0.16984466748655094,0.09105964785492177
9,2,6,0.7987741873496108,0.19046467014646182,0.5020817721026537
9,3,4,0.7212880942970514,0.17312666646866048,0.1102380763414822
9,4,1,0.6639883696205086,0.0,0.03646422382286492
10,1,4,1.0192675905095205,0.1261900960323671,0.08542166576569674
10,2,6,0.8441928111844592,0.13293322447454467,0.14524522038220827
10,3,4,0.749768117442727,0.1705489803279949,0.059160860722006665
10,4,1,0.6578490138053894,0.0,0.08626302137321672
