layer,order_k,subset_mask,score_mean,critic_seed_sd,score_min,score_max,mean_best_val,mean_best_step,mean_final_training_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
0,1,1,0.2033920817905002,0.016269880752978777,0.1855781078338623,0.2174668312072754,0.19581242402394614,525.0,775.0,0.32939183394350535,0.3969303369522095
0,1,2,0.6825905905829536,0.03213651868307984,0.6467427810033163,0.708818515141805,0.9250839551289877,916.6666666666666,1000.0,0.3878776143844092,4.573591391245524
0,1,4,0.043702440129386046,0.005712231855446532,0.03925995031992594,0.05014598369598389,0.04421211282412211,283.3333333333333,533.3333333333334,0.01551163686083386,0.09975966811180115
0,1,8,0.3507240480846829,0.011129140985001075,0.34237035115559894,0.36335782210032147,0.35268988211949664,850.0,958.3333333333334,0.048165327094162845,1.1520195404688518
0,2,3,4.346172014872233e-09,2.9354444464345985e-07,-2.8312206268310547e-07,3.03611159324646e-07,-1.7198423544565836e-07,25.0,275.0,0.0,-2.483526865641276e-09
0,2,5,-8.071462313334148e-08,1.2601910641410297e-07,-2.2351741790771484e-07,1.4901161193847656e-08,-6.20881716410319e-09,25.0,275.0,0.0,1.241763432820638e-09
0,2,6,-2.077884144253201e-07,1.3684961691789675e-07,-3.5762786865234375e-07,-8.940696716308594e-08,-3.849466641743978e-08,25.0,275.0,7.492773068603383e-08,-2.483526865641276e-09
0,2,9,-1.7136335372924805e-07,2.590617336439149e-07,-4.6938657760620117e-07,0.0,9.437402089436849e-08,25.0,275.0,0.0,2.483526865641276e-09
0,2,10,-1.8398794862959121e-07,2.2217186090408727e-07,-4.402051369349162e-07,-4.470348358154297e-08,1.825392246246338e-07,25.0,275.0,5.92355722188894e-08,0.0
0,2,12,2.566311094495985e-08,1.8091147993490294e-07,-9.685754776000977e-08,2.3345152537027994e-07,1.4528632164001465e-07,25.0,275.0,5.923557221888938e-08,2.483526865641276e-09
0,3,7,-4.718701044718424e-08,2.8666183481471455e-07,-2.3096799850463867e-07,2.8312206268310547e-07,-1.9868214925130207e-08,25.0,275.0,0.0,1.241763432820638e-09
0,3,11,1.779860920376248e-08,1.1066567102912151e-07,-8.940696716308594e-08,1.3162692387898764e-07,-2.284844716389974e-07,25.0,275.0,7.492773068603383e-08,1.241763432820638e-09
