layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
3,4,15,37,2560,1,8210,7352,245,613,925,1000,0.8016931563615799,0.6289868752161661,0.29347488484487083,4.311283111572266
4,1,1,11,2560,1,8210,7352,245,613,925,1000,0.6843258142471313,0.7483352422714233,0.3971711208692062,2.5901870727539062
4,1,1,23,2560,1,8210,7352,245,613,925,1000,0.6839851588010788,0.7536895275115967,0.3450758632273599,2.767361640930176
4,1,1,37,2560,1,8210,7352,245,613,950,1000,0.661293625831604,0.7595324516296387,0.41735105334795014,2.7058167457580566
4,1,2,11,2560,1,8210,7352,245,613,875,1000,1.1502323001623154,0.9420862197875977,0.36027912905876186,5.393020153045654
4,1,2,23,2560,1,8210,7352,245,613,975,1000,1.1996917575597763,1.0568942824999492,0.40985661722956795,6.545288562774658
4,1,2,37,2560,1,8210,7352,245,613,900,1000,1.1402145624160767,1.0024586121241252,0.3978639722511596,5.127099514007568
4,1,4,11,2560,1,8210,7352,245,613,975,1000,1.032175064086914,1.04103684425354,0.24023765329729635,4.186795711517334
4,1,4,23,2560,1,8210,7352,245,613,950,1000,1.0400760173797607,1.0257933934529622,0.22654030607345796,4.431406021118164
4,1,4,37,2560,1,8210,7352,245,613,900,1000,1.1237072944641113,1.034941832224528,0.23826042620501994,4.268750190734863
4,1,8,11,2560,1,8210,7352,245,613,600,850,0.8735225200653076,0.8345966736475626,0.18363293487705254,2.793735980987549
4,1,8,23,2560,1,8210,7352,245,613,900,1000,1.0161837190389633,0.9768359661102295,0.22002460699936802,4.13992166519165
4,1,8,37,2560,1,8210,7352,245,613,875,1000,1.0496217012405396,1.0169919331868489,0.21761060925512984,3.868234634399414
4,2,3,11,2560,1,8210,7352,245,613,975,1000,0.7158820703625679,0.7308970789114634,0.37059942395295176,3.6278152465820312
4,2,3,23,2560,1,8210,7352,245,613,850,1000,0.7480534240603447,0.6973847101132075,0.3620391258251553,3.1834940910339355
4,2,3,37,2560,1,8210,7352,245,613,950,1000,0.7679843008518219,0.6959811349709829,0.39200250448984764,3.356405735015869
4,2,5,11,2560,1,8210,7352,245,613,950,1000,0.6280434168875217,0.5549724499384562,0.35624861272856223,2.0538125038146973
4,2,5,23,2560,1,8210,7352,245,613,850,1000,0.5999127775430679,0.5498215903838476,0.3617287846869538,2.019329786300659
4,2,5,37,2560,1,8210,7352,245,613,975,1000,0.6566686704754829,0.5688129663467407,0.3268602406555743,2.1718733310699463
4,2,6,11,2560,1,8210,7352,245,613,925,1000,0.9910824447870255,0.8482911934455236,0.3979061685596796,4.5096611976623535
4,2,6,23,2560,1,8210,7352,245,613,925,1000,1.009422417730093,0.7871686195333799,0.4085406428836748,4.618701457977295
4,2,6,37,2560,1,8210,7352,245,613,950,1000,1.0786191374063492,0.8875937064488729,0.42161618640048903,4.872731685638428
4,2,9,11,2560,1,8210,7352,245,613,975,1000,0.7279567718505859,0.7697163025538126,0.24780794515596527,3.203256130218506
4,2,9,23,2560,1,8210,7352,245,613,850,1000,0.7521008178591728,0.7914980302254359,0.23518038208035758,2.9464755058288574
4,2,9,37,2560,1,8210,7352,245,613,925,1000,0.8052213191986084,0.7795760979255041,0.3039603060644717,3.187128782272339
4,2,10,11,2560,1,8210,7352,245,613,925,1000,1.1013458967208862,0.8002039094765981,0.3170792153574685,4.5511674880981445
4,2,10,23,2560,1,8210,7352,245,613,975,1000,1.029250517487526,0.9164580007394155,0.2956875105191667,4.785886764526367
4,2,10,37,2560,1,8210,7352,245,613,975,1000,1.100683331489563,0.9618197679519653,0.2815480613597064,4.828048229217529
4,2,12,11,2560,1,8210,7352,245,613,900,1000,0.8087688684463501,0.8968255519866943,0.1697178095833569,4.248259544372559
4,2,12,23,2560,1,8210,7352,245,613,850,1000,0.8035912439227104,1.0294021864732106,0.19629284703947691,4.132126331329346
4,2,12,37,2560,1,8210,7352,245,613,1000,1000,0.7830080538988113,0.6506417195002238,0.3928130142532113,4.876455783843994
4,3,7,11,2560,1,8210,7352,245,613,925,1000,0.7471778392791748,0.636018306016922,0.40912311722333794,3.1107518672943115
4,3,7,23,2560,1,8210,7352,245,613,900,1000,0.6987152621150017,0.5193332632382711,0.48366714694359436,3.0604820251464844
