node_index,node,kind,order_k,gain,true_mi_nats,estimate_mean,estimate_sd_across_seeds,estimate_min,estimate_max,mean_best_val,mean_best_step,mean_final_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
0,null,null,0,0.0,0.0,-0.00023708119988441467,0.00015942539634335263,-0.0003588398297627767,-5.662937959035238e-05,-0.00017891948421796164,41.666666666666664,291.6666666666667,2.752343268650104e-05,-3.8170566161473594e-05
1,layer_00_start,common,0,0.15,0.011125304467409862,-2.3745828204684785e-05,5.497348119576241e-05,-8.241583903630574e-05,2.6576220989227295e-05,-3.8114686806996666e-05,58.333333333333336,308.3333333333333,9.764998372142149e-05,0.00032602126399676007
2,layer_01_mid,common,1,0.5,0.11157177565710488,0.002424938655975792,0.0007800155367209249,0.0017857750256856282,0.0032940899642805257,0.0023959223181009293,75.0,325.0,0.0007493701873000741,0.004511932687213023
3,layer_02_peak,common,2,1.5,0.5893274981708231,0.19154096643129984,0.028307022182816947,0.1641337275505066,0.2206692397594452,0.1916108081738154,291.6666666666667,541.6666666666666,0.023489972902348635,0.8830283085505167
4,final_k1,final,1,1.2,0.44599901965255523,0.1422585348288218,0.010624057509828644,0.1359744668006897,0.1545249025026957,0.12624578860898814,233.33333333333334,483.3333333333333,0.018568340422456826,0.48416276772816974
5,final_k2,final,2,1.0,0.34657359027997264,0.06398314589427577,0.010473519886553012,0.05561163586874803,0.07572753727436066,0.0664108544588089,208.33333333333334,458.3333333333333,0.013158205011161822,0.3216087222099304
6,final_k3,final,3,0.5,0.11157177565710488,-6.484892219305045e-05,0.0017532969447896765,-0.0015562425057093303,0.0018665371462702751,0.004565503137807052,91.66666666666667,341.6666666666667,0.00171281419737592,0.016535536541293066
7,final_k4,final,4,0.15,0.011125304467409862,-0.0002553543696800868,0.0002158842230914717,-0.0005042130748430887,-0.00011835495630900066,0.0003395508974790573,75.0,325.0,0.00048188037870376243,0.00030570104718208313
