replicate_id,gain,true_mi_nats,estimate_mean,estimate_sd_across_seeds,estimate_min,estimate_max,mean_best_val,mean_best_step,mean_final_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
101,0.0,0.0,-0.00018866111834843954,0.00015723024450864059,-0.00036911418040593463,-8.114675680796306e-05,-9.086898838480313e-05,58.333333333333336,308.3333333333333,0.00011511283180026738,5.883987372120222e-05
101,0.15,0.011125304467409862,-0.0003488022420141432,9.004574981160486e-05,-0.0004524439573287964,-0.0002897679805755615,-0.000320195530851682,25.0,275.0,1.692091269985708e-05,3.254289428393046e-05
101,0.5,0.11157177565710488,0.0051104434662395054,0.005458917107623328,0.00014495849609375,0.01095588505268097,0.003165779635310173,75.0,325.0,0.001083079062723495,0.00807618722319603
101,1.0,0.34657359027997264,0.05696953336397806,0.030679889366297772,0.02162746588389079,0.07675227522850037,0.13088097547491392,316.6666666666667,566.6666666666666,0.031468026302490626,0.49894147117932636
101,1.5,0.5893274981708231,0.22490203711721635,0.03253616251623223,0.20168416698773703,0.26209025581677753,0.3125109076499939,383.3333333333333,633.3333333333334,0.026681039906703664,0.9674961765607198
211,0.0,0.0,-8.677908529837926e-05,0.0003029384088924829,-0.00028683897107839584,0.00026175379753112793,0.00021118453393379846,75.0,325.0,0.00027757217949654395,0.0005050958134233952
211,0.15,0.011125304467409862,-0.00010954236818684473,8.947182287396912e-05,-0.000187605619430542,-1.1903544267018637e-05,-0.00018575352927049002,50.0,300.0,4.463079459304597e-05,4.0471553802490234e-05
211,0.5,0.11157177565710488,0.00022166884607738917,0.00020673807052125597,-1.7041961352030437e-05,0.0003428931037584941,7.29728490114212e-05,50.0,300.0,9.738034333833969e-05,0.0003202880422274272
211,1.0,0.34657359027997264,0.05229966673586104,0.022918955275609127,0.034545160830020905,0.07817285011212032,0.1290014125406742,275.0,525.0,0.018191291798943177,0.3724873860677083
211,1.5,0.5893274981708231,0.23130820194880167,0.030940479092363162,0.19606255491574606,0.25399279594421387,0.3317788044611613,350.0,600.0,0.029365685894297,0.9373985926310221
307,0.0,0.0,-0.0001233451896243625,2.4064466649342007e-05,-0.0001481125752131144,-0.00010005136330922444,-2.5357430179913838e-05,58.333333333333336,308.3333333333333,0.00010038027043759034,7.713151474793752e-05
307,0.15,0.011125304467409862,-6.287674316101604e-05,0.00015823633229386074,-0.0002185691458483537,9.77863868077596e-05,0.0005526095628738403,66.66666666666667,316.6666666666667,0.00026863873539238796,0.0005750727529327074
307,0.5,0.11157177565710488,0.002844603939188851,0.0011440962586626397,0.001557095597187678,0.0037446742256482444,0.0037676418821016946,83.33333333333333,333.3333333333333,0.0021337957010349098,0.009526594231526056
307,1.0,0.34657359027997264,0.09085159997145335,0.0018621967218349822,0.08955647051334381,0.09298568964004517,0.07156404790778954,158.33333333333334,408.3333333333333,0.014836397952898964,0.22058923542499542
307,1.5,0.5893274981708231,0.21311584032244155,0.03940567278729188,0.18396748105684915,0.2579486866792043,0.2387335648139318,316.6666666666667,566.6666666666666,0.032695634155582375,0.8888285954793295
