order_k,final_node,true_retention,estimated_relative_retention
1,final_k1,0.756793160062722,0.742705529158149
2,final_k2,0.5880831818567449,0.33404418431408855
3,final_k3,0.18932049837044015,-0.00033856424242439996
4,final_k4,0.018877965989947867,-0.001333157989320655
