scenario,expected,critic_seed,retain_k1,retain_k2,retain_k3,retain_k4,lo_retention,ho_retention,delta_ho_lo
flat_moderate,flat,11,0.016214684794466788,0.008968634275107745,0.01850284399212947,0.020767827633516027,0.012591659534787266,0.01963533581282275,0.007043676278035484
flat_moderate,flat,23,0.04324008872886312,0.009271693746704269,0.008663651126509794,0.016753333076368393,0.026255891237783692,0.012708492101439093,-0.013547399136344599
flat_moderate,flat,37,0.025575868565015772,0.018320947976622873,0.019701204037470405,0.02040025138759527,0.02194840827081932,0.020050727712532836,-0.0018976805582864853
flat_strong,flat,11,0.36321197589138166,0.4836942979178301,0.22365675780116634,0.29779504256923983,0.42345313690460584,0.2607259001852031,-0.16272723671940276
flat_strong,flat,23,0.4270785615361138,0.4728641385141237,0.35367264718899344,0.48004838267369976,0.44997135002511873,0.41686051493134657,-0.03311083509377216
flat_strong,flat,37,0.2796101801275672,0.4708586905595952,0.34058249713729344,0.3849863323033864,0.37523443534358125,0.36278441472033995,-0.012450020623241298
ho_advantage,positive,11,-0.0021570157300848914,0.013745571392796531,0.3425702154907213,0.5914956223089348,0.00579427783135582,0.46703291889982806,0.46123864106847223
ho_advantage,positive,23,-0.0002717256114344766,0.044014161946686677,0.3200642186096112,0.7484324801854846,0.0218712181676261,0.5342483493975478,0.5123771312299218
ho_advantage,positive,37,-0.0005091289063882816,0.02059687837948311,0.32910249411345693,0.737773830391658,0.010043874736547415,0.5334381622525575,0.52339428751601
ho_loss,negative,11,0.6263657734559738,0.4887555215434725,0.007988984564789978,-0.0010535296602669738,0.5575606474997231,0.003467727452261502,-0.5540929200474616
ho_loss,negative,23,0.6956752342387631,0.39368909186784884,0.05070901448907868,-0.00033693652591533193,0.544682163053306,0.02518603898158167,-0.5194961240717243
ho_loss,negative,37,0.6931450752090621,0.4271409395831757,-0.018579462711269715,-0.00029847495018417875,0.5601430073961189,-0.009438968830726946,-0.5695819762268458
