family,representation_dim,target_dim,node_index,node,scenario,expected,order_k,gain,noise_sigma,true_mi_nats,target_seed,direction_seed,noise_seed,critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
dim2560_adversarial_relative_retention_suite,2560,1,7,ho_loss_final_k4,ho_loss,negative,4,0.15,1.0,0.011125304467409862,20260941,20260942,20260957,23,50,300,-4.9754977226257324e-05,-6.213287512461345e-05,4.034153831791484e-05,-1.8522143363952637e-05
dim2560_adversarial_relative_retention_suite,2560,1,7,ho_loss_final_k4,ho_loss,negative,4,0.15,1.0,0.011125304467409862,20260941,20260942,20260957,37,50,300,-0.00012671947479248047,-5.348026752471924e-05,7.639954629771648e-05,0.00011515617370605469
dim2560_adversarial_relative_retention_suite,2560,1,8,flat_strong_final_k1,flat_strong,flat,1,1.0,1.0,0.34657359027997264,20260941,20260942,20260958,11,175,425,0.08524131774902344,0.06250318388144176,0.0092728896136141,0.2442721575498581
dim2560_adversarial_relative_retention_suite,2560,1,8,flat_strong_final_k1,flat_strong,flat,1,1.0,1.0,0.34657359027997264,20260941,20260942,20260958,23,150,400,0.0710471123456955,0.07875554263591766,0.008134629294822466,0.27138644456863403
dim2560_adversarial_relative_retention_suite,2560,1,8,flat_strong_final_k1,flat_strong,flat,1,1.0,1.0,0.34657359027997264,20260941,20260942,20260958,37,225,475,0.10151641070842743,0.05010010798772176,0.01503167057007367,0.3656478822231293
dim2560_adversarial_relative_retention_suite,2560,1,9,flat_strong_final_k2,flat_strong,flat,2,1.0,1.0,0.34657359027997264,20260941,20260942,20260959,11,225,475,0.08315698895603418,0.0832363348454237,0.017909946450465095,0.33455637097358704
dim2560_adversarial_relative_retention_suite,2560,1,9,flat_strong_final_k2,flat_strong,flat,2,1.0,1.0,0.34657359027997264,20260941,20260942,20260959,23,150,400,0.06326012313365936,0.0871986448764801,0.0041537352636961695,0.2655172646045685
dim2560_adversarial_relative_retention_suite,2560,1,9,flat_strong_final_k2,flat_strong,flat,2,1.0,1.0,0.34657359027997264,20260941,20260942,20260959,37,150,400,0.07660011947154999,0.08436771233876546,0.008711326566064007,0.2324383556842804
dim2560_adversarial_relative_retention_suite,2560,1,10,flat_strong_final_k3,flat_strong,flat,3,1.0,1.0,0.34657359027997264,20260941,20260942,20260960,11,300,550,0.09027133882045746,0.03848788142204285,0.017779674422356895,0.49319323897361755
dim2560_adversarial_relative_retention_suite,2560,1,10,flat_strong_final_k3,flat_strong,flat,3,1.0,1.0,0.34657359027997264,20260941,20260942,20260960,23,150,400,0.06421822309494019,0.06521910429000854,0.015600774662246734,0.25564712285995483
