family,layer,order_k,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,subset_masks,null_cube_shift,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
primary,13,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.002285480499267578,-0.0005443443854649862,0.0002171309064785281,0.00013656914234161377
primary,13,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.004774957895278931,-0.002630949020385742,0.00014435229369417674,2.1979212760925293e-05
primary,14,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.8245152831077576,0.7733025153477987,0.11709677035752208,2.9540514945983887
primary,14,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.6365464329719543,0.5893143614133199,0.1344159639631231,3.041754722595215
primary,14,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.9363633990287781,0.672061045964559,0.21120732435523232,3.270012855529785
primary,14,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,350,600,0.7848653793334961,0.17961305379867554,0.04646208612399995,1.5699493885040283
primary,14,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,350,600,1.226267695426941,0.3466359078884125,0.04819154933845205,1.821804404258728
primary,14,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,450,700,1.0788204669952393,0.09985158840815227,0.0733293963721045,1.895336389541626
primary,14,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,350,600,0.6584722399711609,-0.4027039210001628,0.04977186833849477,0.3109546899795532
primary,14,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.5715485215187073,-0.3168725371360779,0.03779404289491911,0.2449985146522522
primary,14,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,375,625,0.5239514783024788,-0.692691961924235,0.03488282519670491,0.3151191473007202
primary,14,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.003706013027112931,-0.004921730607748032,0.0002464228353977505,0.00014502182602882385
primary,14,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.002645626664161682,-0.0007460316022237142,0.00030082979060449974,7.827579975128174e-05
primary,14,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.003498360514640808,-0.001977205276489258,0.00012602761889527047,-4.556775093078613e-05
null_control,15,1,11,2560,1,32840,29408,980,2452,1;2;4;8,1,550,800,0.9363403916358948,0.6382187555233637,0.10557610093381385,3.0290441513061523
null_control,15,1,23,2560,1,32840,29408,980,2452,1;2;4;8,1,350,600,0.521882176399231,1.1067270437876384,0.05791499595262897,2.271218776702881
null_control,15,1,37,2560,1,32840,29408,980,2452,1;2;4;8,1,575,825,0.6529991030693054,0.5608474214871725,0.23220434034311643,3.5994012355804443
primary,15,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,1.2072906494140625,0.4647000829378764,0.13847223437444672,4.4252166748046875
primary,15,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,575,825,1.229124903678894,0.4743874867757161,0.25918165201097954,5.298074722290039
primary,15,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,800,1000,1.162282109260559,-0.455486536026001,0.05808479815322562,4.886157512664795
null_control,15,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,1,725,975,0.9517999291419983,0.01995845635732015,0.03316248616119712,2.6887221336364746
null_control,15,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,1,375,625,0.9210497736930847,0.3683080772558848,0.014372637650210279,1.612596869468689
null_control,15,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,1,650,900,0.9497626423835754,0.014977415402730307,0.03423864869181098,2.7452011108398438
primary,15,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,725,975,1.2352445125579834,0.013397415479024252,0.08277162806678319,2.8866677284240723
primary,15,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.0200445652008057,0.15923182169596353,0.08575138547207023,2.2464137077331543
primary,15,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,650,900,1.0553545951843262,0.11177382866541545,0.07998984053521192,2.8855340480804443
null_control,15,3,11,2560,1,32840,29408,980,2452,7;11;13;14,1,475,725,0.5854347944259644,-0.440107782681783,0.06088914181090661,0.5004020929336548
null_control,15,3,23,2560,1,32840,29408,980,2452,7;11;13;14,1,325,575,0.527353048324585,-0.04042015473047892,0.050163505514522366,0.4125247597694397
null_control,15,3,37,2560,1,32840,29408,980,2452,7;11;13;14,1,275,525,0.4286579489707947,0.014944920937220255,0.039018711089804294,0.38537678122520447
primary,15,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,400,650,0.5626852512359619,-0.48589974641799927,0.046771537339568445,0.30810362100601196
primary,15,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,450,700,0.6897992491722107,-0.6120085716247559,0.05173610150848177,0.37470054626464844
primary,15,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.5707999467849731,-0.24989145000775656,0.057371907851341004,0.26951804757118225
null_control,15,4,11,2560,1,8210,7352,245,613,15,1,75,325,-0.0031663700938224792,-0.012908955415089926,0.0010913725992173766,-0.0011796355247497559
null_control,15,4,23,2560,1,8210,7352,245,613,15,1,100,350,0.0008886158466339111,-0.00861846407254537,0.002204869559653252,-0.0008335858583450317
null_control,15,4,37,2560,1,8210,7352,245,613,15,1,75,325,-0.0014961957931518555,-0.003401324152946472,0.0007633132316987313,0.0014217421412467957
primary,15,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.006237063556909561,-0.011426771680514017,0.0005485362087194232,-8.64267349243164e-05
primary,15,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0033071190118789673,-0.0008758604526519775,0.0003651168618137817,-5.21540641784668e-06
primary,15,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.005093872547149658,-0.001786572237809499,0.00041699679088890275,-3.056228160858154e-05
primary,16,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,0.8749929070472717,0.254986047744751,0.06826104708837417,3.485136032104492
primary,16,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,400,650,0.7712803483009338,0.9641710122426351,0.0200085992864555,3.012347459793091
primary,16,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,0.9020227789878845,0.3483503262201945,0.1722688754027887,3.8839526176452637
primary,16,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,750,1000,1.3171422481536865,0.045556982358296715,0.08416254691405095,2.7726850509643555
primary,16,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,700,950,1.4092777967453003,-0.2858650286992391,0.0896430284149879,2.8129634857177734
primary,16,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.416045904159546,0.14997756481170654,0.11117400194606467,2.422567367553711
primary,16,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,325,575,0.6250929236412048,-0.44626396894454956,0.03140457790371406,0.2467631697654724
primary,16,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.47995251417160034,-0.7591765324274699,0.05879165230737781,0.33421027660369873
primary,16,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.4573439359664917,-0.14179410537083945,0.045027592459263785,0.2518576979637146
primary,16,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.005069836974143982,-0.008468174686034521,0.00015030576545261936,0.00012257322669029236
primary,16,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0027047693729400635,-0.0006857713063557943,0.00014949419503033313,2.2426247596740723e-05
primary,16,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.005863375961780548,-0.001732376714547475,9.784719658412092e-05,9.596720337867737e-05
primary,17,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,600,850,0.8052232265472412,0.12695189317067465,0.1890266737220715,3.939445972442627
primary,17,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,650,900,0.7987064719200134,0.1163335641225179,0.024371066790883234,4.214491367340088
primary,17,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.9126142859458923,0.995179812113444,0.03624050216009988,3.931323766708374
primary,17,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,550,800,1.1409436464309692,0.0579831600189209,0.09230531951661239,2.1503210067749023
primary,17,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,375,625,1.0225703567266464,0.33507053057352704,0.08582588868348683,2.1636898517608643
primary,17,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,600,850,1.0963482856750488,-0.09788779417673747,0.09202891429253698,2.3752083778381348
primary,17,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,325,575,0.3483140468597412,-0.3665451407432556,0.049260605106844955,0.30360811948776245
primary,17,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,250,500,0.3322440981864929,-0.23721782366434732,0.028670168035584757,0.19883430004119873
primary,17,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,225,475,0.23606032133102417,-0.06662505865097046,0.0239092969904954,0.2671729028224945
primary,17,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.006378949619829655,-0.0015560636917750041,0.00021025773289919933,0.00043212808668613434
primary,17,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.002728596329689026,-0.0006481508413950602,0.00020043590910587308,0.00019910931587219238
primary,17,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.005855940282344818,-0.001922621081272761,0.00011334211845713226,0.00016577169299125671
primary,18,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,1.063492774963379,0.8443546692530314,0.044603716851010944,4.093613147735596
primary,18,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,725,975,1.1982207298278809,0.47062569856643677,0.10435442951509022,4.639458656311035
primary,18,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,550,800,1.1138148307800293,0.4171968499819438,0.20424045435990454,3.5958139896392822
primary,18,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,375,625,0.8927263617515564,0.4167657792568207,0.03799092526266136,1.6882380247116089
primary,18,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,325,575,1.0050960779190063,0.34371163447697956,0.040456131473230204,1.3198888301849365
primary,18,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,825,1000,1.5326200723648071,-0.1728602647781372,0.06717867027393384,2.5737643241882324
primary,18,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.3219360113143921,-0.4029613534609477,0.030536350436268057,0.2428838610649109
primary,18,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.38488197326660156,-0.6725660562515259,0.05615796417659807,0.2338162660598755
primary,18,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.417499877512455,-0.25626230239868164,0.032231031768230375,0.3110712766647339
primary,18,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.0025833360850811005,-0.0012158205111821492,0.00026089786332072833,0.0002247430384159088
primary,18,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0031349211931228638,-0.0009363840023676554,0.00029041985151766555,0.00019043684005737305
primary,18,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.006503313779830933,-0.0014252612988154094,0.000137662157166082,9.384006261825562e-05
primary,19,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,850,1000,1.5918751955032349,0.017497460047403973,0.06533392177809186,4.5337629318237305
primary,19,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,675,925,1.2186834812164307,0.5081758300463358,0.061510896405224114,4.138605117797852
primary,19,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,1000,1000,1.4884378910064697,-0.3561489184697469,0.2942387950608722,4.620064735412598
primary,19,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,650,900,1.2783751487731934,-0.01296536127726237,0.07606871948819813,2.388180732727051
primary,19,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,625,875,1.1700633764266968,0.15141687790552774,0.05749367657979939,2.5740208625793457
primary,19,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,825,1000,1.1049398183822632,-0.24912003676096597,0.07264447527648789,2.9971985816955566
primary,19,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,375,625,0.43494224548339844,-0.47912981112798053,0.038103530647684694,0.283025324344635
primary,19,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.4548391103744507,-0.6692185401916504,0.026186289188285184,0.46073341369628906
primary,19,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,325,575,0.4875859022140503,-0.3891102472941081,0.0254394656635701,0.4000828266143799
primary,19,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.0030578384175896645,-0.0049571506679058075,0.00027041386473263115,0.0005032625049352646
primary,19,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.005269557237625122,-0.0007242833574612936,5.923117085235668e-05,0.00020304322242736816
primary,19,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0030541792511940002,-0.0009424462914466858,0.0005096032277539936,0.00010916590690612793
primary,20,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.8835759162902832,0.6781430939833323,0.1845425959411005,3.0856056213378906
primary,20,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,625,875,0.9404727518558502,0.6555599570274353,0.08072809628096728,4.288175582885742
primary,20,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,1.0220260620117188,1.01342777411143,0.04496171721511341,3.7843689918518066
primary,20,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,900,1000,1.2389391660690308,-0.14770638942718506,0.04198121479655815,2.734522819519043
primary,20,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,450,700,1.1408686637878418,0.1966230273246765,0.043297446505325764,2.083750009536743
primary,20,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,750,1000,1.4117451906204224,-0.1404018004735311,0.04184189889392804,2.399385929107666
primary,20,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.34847599267959595,-0.1320819358030955,0.03057329676620262,0.255935400724411
primary,20,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,250,500,0.26384902000427246,-0.21321996053059897,0.02976834914142024,0.3255958557128906
primary,20,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,175,425,0.1895727515220642,0.031139927605787914,0.023663137132118036,0.15182191133499146
primary,20,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.008991073817014694,-0.0018582043703645468,0.00012010108114523183,0.00035770353861153126
primary,20,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.004062086343765259,-0.000824307401974996,4.4746043114504535e-05,0.00014938414096832275
primary,20,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0033306479454040527,-0.0007016435265541077,0.0003352875089479431,0.00014900416135787964
primary,21,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,600,850,0.9259060621261597,0.8039435148239136,0.11122778803617892,3.6445798873901367
primary,21,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,450,700,0.7140242457389832,1.3063865502675374,0.031731317041571075,2.7057573795318604
primary,21,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,1.0742032676935196,0.2432800531387329,0.2683083751523295,3.051815986633301
primary,21,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,775,1000,1.3978488445281982,-0.18530734380086264,0.03689457247923854,2.327651262283325
primary,21,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.3968795537948608,0.0947457750638326,0.03485917838783758,2.2879717350006104
primary,21,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,750,1000,1.6963539123535156,0.016459107398986816,0.05304557523664877,2.695323944091797
primary,21,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,375,625,0.38860204815864563,-0.4512014389038086,0.03391832183648187,0.32977354526519775
primary,21,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,350,600,0.4822158217430115,-0.6195310950279236,0.058726543794594174,0.35190290212631226
primary,21,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,200,450,0.25778770446777344,0.027852679292360943,0.025468860821758782,0.19254937767982483
primary,21,4,11,2560,1,8210,7352,245,613,15,0,75,325,-0.010789730586111546,-0.00046376387278238934,0.0005935565068285438,0.0011211615055799484
primary,21,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.0026493817567825317,-0.0008619775374730428,4.805946652466903e-05,0.00012823939323425293
primary,21,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.0015358775854110718,-0.0019235263268152873,0.00013720581269756593,-7.092952728271484e-05
primary,22,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,625,875,0.7910279631614685,0.7362176974614462,0.16242421423668155,3.080869197845459
primary,22,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,775,1000,0.8474596738815308,0.41085632642110187,0.13176667071448275,3.993405342102051
primary,22,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,0.9201473444700241,0.4012385408083598,0.2892114838922317,3.437558174133301
primary,22,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,550,800,1.2901721000671387,0.054943859577178955,0.048053913853171905,1.8867144584655762
primary,22,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,550,800,1.2851651906967163,0.19321590662002563,0.0421968166783337,2.0765533447265625
primary,22,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.0991212129592896,0.02966018517812093,0.033084032450729606,1.910072922706604
primary,22,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,250,500,0.3657945990562439,-0.1475032071272532,0.026512727242806913,0.22165963053703308
primary,22,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,250,500,0.4027777910232544,-0.3573122223218282,0.024700964907068773,0.23978149890899658
primary,22,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.515335738658905,-0.3575735290845235,0.01871892801940592,0.26661938428878784
primary,22,4,11,2560,1,8210,7352,245,613,15,0,100,350,-0.013976633548736572,-0.002611760670940081,0.0025237075497181304,0.0003868844360113144
primary,22,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.002708122134208679,-0.0003508428732554118,7.172948416677585e-05,0.00036634504795074463
primary,22,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.0026655644178390503,-0.0008873616655667623,0.0001862176634887247,0.00010782480239868164
primary,23,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,850,1000,0.8956287503242493,-0.1919559637705485,0.27196692073509,3.3155202865600586
primary,23,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,650,900,1.1007897853851318,0.26596476634343463,0.1917166856858967,3.676083564758301
primary,23,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,1.0700780153274536,-0.03740529219309489,0.16622824101988298,2.3669018745422363
primary,23,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.073126196861267,0.014734784762064615,0.04548439924193877,1.7260695695877075
primary,23,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,600,850,1.0805953741073608,0.14728711048762003,0.055544789285858806,2.6896889209747314
primary,23,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,500,750,1.1188479661941528,0.13449300328890482,0.0471214452804972,1.8777706623077393
primary,23,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.48298871517181396,-0.0676633541782697,0.029833930192334292,0.2522614598274231
primary,23,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,250,500,0.3949231505393982,-0.11338334282239278,0.02535384677829248,0.3048475682735443
primary,23,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.26524221897125244,-0.362562358379364,0.04470403141703298,0.42942649126052856
primary,23,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.015170196071267128,-0.0008316409463683764,0.00032013989049974793,0.00012952927500009537
primary,23,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0019380301237106323,-2.483526865641276e-06,0.00036826767063200883,0.0002709031105041504
primary,23,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0014118701219558716,-0.0005462765693664551,0.0009416098424908562,4.937499761581421e-05
primary,24,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,550,800,0.9972200393676758,0.36840687195460003,0.08765548508820195,2.872889280319214
primary,24,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,0.8732380867004395,0.7323299249013265,0.04510459281796022,3.271841049194336
primary,24,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,0.7947860211133957,-0.050642430782318115,0.13995444169990845,2.5914463996887207
primary,24,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,825,1000,1.3880140781402588,-0.42181626955668133,0.0361391670603703,2.5883536338806152
primary,24,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,750,1000,1.2199286222457886,-0.5562637249628702,0.03541487036818219,2.277475357055664
primary,24,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,600,850,1.3627527952194214,-0.2583020528157552,0.05845914068258935,2.206653594970703
primary,24,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.4551786184310913,-0.20588685075441995,0.03467788289503442,0.27976760268211365
primary,24,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.3965056538581848,-0.29845428466796875,0.029316039269516585,0.2719458341598511
primary,24,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.4560469016432762,-0.4286384582519531,0.03687842975687344,0.32530391216278076
primary,24,4,11,2560,1,8210,7352,245,613,15,0,50,300,-0.0028313063085079193,-0.00033930564920107525,0.0007163283156187653,-0.0002169199287891388
primary,24,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.0015693753957748413,-0.00010361274083455403,0.0003720854449450648,0.00017596781253814697
primary,24,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.0019497275352478027,-0.0005648806691169739,0.0003198139153600213,8.08611512184143e-05
primary,25,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,600,850,1.028944492340088,0.5954681038856506,0.052947481674747436,3.4047131538391113
primary,25,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,300,550,0.7571108937263489,1.0698529879252117,0.013948215391327807,2.0182595252990723
primary,25,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,425,675,0.9706436395645142,0.7811054786046346,0.041234104232791655,3.0806260108947754
primary,25,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,450,700,1.1729316711425781,-0.07672117153803508,0.028896286996927194,1.656881332397461
primary,25,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,625,875,1.1994552612304688,-0.04542116324106852,0.027620316002351892,2.419830322265625
primary,25,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,750,1000,1.0222386121749878,0.07361231247584026,0.05410427779647571,2.7201764583587646
primary,25,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,250,500,0.4169352054595947,-0.14005827903747559,0.03001629754696613,0.2632541060447693
primary,25,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,500,750,0.5179362520575523,-1.0614990790685017,0.03215818263427989,0.5700112581253052
primary,25,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,300,550,0.5476295948028564,-0.2867719233036041,0.030322831764696623,0.38015130162239075
primary,25,4,11,2560,1,8210,7352,245,613,15,0,75,325,-0.0073892101645469666,-0.0005129321167866389,0.0007647460873898646,-0.0003007128834724426
primary,25,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.001284971833229065,-0.0002315292755762736,0.0003592350573509858,-5.905330181121826e-05
primary,25,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0014446526765823364,-0.0007699926694234213,0.0008051589173639616,-0.0001157224178314209
primary,26,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,375,625,0.617412805557251,0.9406462907791138,0.03819472212712362,2.095252513885498
primary,26,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,575,825,0.4475201368331909,0.7036581436793009,0.18481976268782352,3.3949151039123535
primary,26,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,300,550,0.5289338827133179,1.1235984961191814,0.004018660422863762,1.9396560192108154
primary,26,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,550,800,1.5358988046646118,0.21377875407536825,0.05077845366180274,2.348090887069702
primary,26,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,425,675,1.2608767747879028,0.24510755141576132,0.043942694040190626,1.9629619121551514
primary,26,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,900,1000,1.3979310989379883,-0.2848804791768392,0.0532248817266898,2.7490715980529785
primary,26,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,675,925,0.525963306427002,-0.9669238328933716,0.04245329330238421,0.6139644384384155
primary,26,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,275,525,0.5300228595733643,-0.30751262108484906,0.02928003451286636,0.22725176811218262
primary,26,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,325,575,0.6703466176986694,-0.2944849530855815,0.03188332789740796,0.4298933148384094
primary,26,4,11,2560,1,8210,7352,245,613,15,0,75,325,-0.002174423076212406,-0.00036565012608965236,0.0010738203204006872,-0.000174766406416893
primary,26,4,23,2560,1,8210,7352,245,613,15,0,50,300,-0.002177789807319641,7.401903470357259e-05,0.0003661742691495197,9.992718696594238e-05
primary,26,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0027887150645256042,-0.0007040326793988546,0.0007237277380616071,-0.0002555474638938904
primary,27,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.9614564627408981,0.9859330157438914,0.0663737139123184,2.7850236892700195
primary,27,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.7282150983810425,0.8863512674967448,0.1159869380279762,3.0349929332733154
primary,27,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.7376408576965332,0.527564267317454,0.14290901406286602,2.7999939918518066
primary,27,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,725,975,1.3342883586883545,-0.06697680552800496,0.04872456362320751,2.7488105297088623
primary,27,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,850,1000,1.3287334442138672,0.014660378297170004,0.05575372299975969,3.1448259353637695
primary,27,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,775,1000,1.6330490112304688,-0.22334039211273193,0.07671923248102683,2.530642509460449
primary,27,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,600,850,0.6795818209648132,-0.8119104305903116,0.050993819334258755,0.554985761642456
primary,27,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.5281588435173035,-0.4038328528404236,0.04021584191610146,0.5487567782402039
primary,27,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,375,625,0.5934085249900818,-0.6368281841278076,0.04320707786740095,0.3936901092529297
primary,27,4,11,2560,1,8210,7352,245,613,15,0,75,325,-0.0005839206278324127,-0.0007951781153678894,0.0006985228609548515,0.00011499971151351929
primary,27,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.0007689297199249268,-0.0006027022997538248,3.377970506497105e-05,8.450448513031006e-05
primary,27,4,37,2560,1,8210,7352,245,613,15,0,50,300,-0.0016149133443832397,-0.00043684492508570355,0.0006946073788087103,6.28158450126648e-05
